address,cost,cuisine,lat,link,lng,phone,rating_number,rating_text,subzone,title,type,votes,groupon,color,cost_2,cuisine_color
" Upper Level, Overseas Passenger Terminal 5 Hickson Road, The Rocks, Sydney",500,['Modern Australian'],-33.8581392,https://www.zomato.com/sydney/quay-the-rocks,151.2098175,02 9251 5600,4.6,Excellent,The Rocks,Quay,['Fine Dining'],1662,FALSE,#9c3203,40,#4186f4
" Shop 1-2, 299 Sussex Street, CBD, Sydney",60,"['Thai', 'Salad']",-33.8746082,https://www.zomato.com/sydney/home-thai-cbd,151.2040895,02 9261 5058,4.4,Very Good,CBD,Home Thai,['Casual Dining'],1476,FALSE,#b53b02,6.016260163,#6f706b
" 15 Goulburn Street, 	Chinatown",70,['Malaysian'],-33.8777061,https://www.zomato.com/sydney/mamak-chinatown,151.2041863,(02) 9211 1668,4.4,Very Good,Chinatown,Mamak,['Casual Dining'],3203,FALSE,#b53b02,6.788617886,#6f706b
" Level 1, Shop 11.04, World Square Shopping Centre, 644 George Street, CBD, Sydney",70,"['Chinese', 'Taiwanese', 'Yum Cha']",-33.8771813,https://www.zomato.com/sydney/din-tai-fung-1-cbd,151.2068788,02 9264 6010,4.3,Very Good,"World Square Shopping Centre, CBD",Din Tai Fung,['Casual Dining'],2821,FALSE,#c14002,6.788617886,#f45042
" Darling Park, 201 Sussex Street, Darling Harbour, Sydney",500,"['Seafood', 'Modern Australian']",-33.8719935,https://www.zomato.com/sydney/sepia-darling-harbour,151.2038093,02 9283 1990,4.8,Excellent,"Darling Park, Darling Harbour",Sepia,['Fine Dining'],873,FALSE,#892b04,40,#4186f4
" 613A Elizabeth Street, Surry Hills, Sydney",55,['Cafe'],-33.8920342,https://www.zomato.com/sydney/three-williams-surry-hills,151.207232,(02) 9698 1111,4.3,Very Good,Surry Hills,Three Williams,['Café'],1447,FALSE,#c14002,5.630081301,#6f706b
" 21 Alberta Street, CBD, Sydney",20,"['Cafe', 'Desserts']",-33.8779375,https://www.zomato.com/sydney/café-cre-asion-cbd,151.2105307,02 8021 1629,4.8,Excellent,CBD,Café Cre Asion,['Café'],752,FALSE,#892b04,2.926829268,#6f706b
" Shop 11, Skyview Shopping Plaza, 537-551 George Street, CBD, Sydney",25,"['Japanese', 'Asian']",-33.8757332,https://www.zomato.com/sydney/mappen-noodle-restaurant-cbd,151.2060253,02 9283 5525,4.6,Excellent,"SkyView Shopping Plaza, CBD",Mappen Noodle Restaurant,['Casual Dining'],1285,FALSE,#9c3203,3.31300813,#6f706b
" 21 Wentworth Street, Parramatta, Sydney",45,['Cafe'],-33.8187198,https://www.zomato.com/sydney/circa-parramatta,151.0050211,Not available for this place,4.6,Excellent,Parramatta,Circa,['Café'],1211,FALSE,#9c3203,4.857723577,#6f706b
" 56 Pirrama Road, 	Pyrmont, Pyrmont, Sydney",190,"['Italian', 'Japanese']",-33.8671457,https://www.zomato.com/sydney/lumi-bar-dining-pyrmont,151.1956274,02 9571 1999,4.9,Excellent,Pyrmont,LuMi Bar & Dining,['Fine Dining'],305,FALSE,#7f2704,16.05691057,#6f706b
" Shops 433-436, Level 2, Harbourside Shopping Centre, 2-10 Darling Drive, Darling Harbour, Sydney",120,"['Steak', 'Modern Australian', 'Salad']",-33.870753,https://www.zomato.com/sydney/hurricanes-grill-darling-harbour-darling-harbour,151.1989546,02 9211 2210,4.1,Very Good,"Harbourside Shopping Centre, Darling Harbour",Hurricane's Grill- Darling Harbour,['Casual Dining'],1868,FALSE,#db4a02,10.6504065,#4186f4
" Ivy, 2 Ash Street, CBD, Sydney",120,['French'],-33.866682,https://www.zomato.com/sydney/felix-bistro-and-bar-cbd,151.207768,02 9114 7303,4.6,Excellent,"Ivy, CBD",Felix Bistro and Bar,"['Casual Dining', 'Wine Bar']",990,FALSE,#9c3203,10.6504065,#6f706b
" Shop 12, Regent Place Arcade, 501 George Street, CBD, Sydney",70,['Chinese'],-33.8747251,https://www.zomato.com/sydney/chefs-gallery-cbd,151.2064149,02 9267 8877,4.3,Very Good,"Regent Place Arcade, CBD",Chefs Gallery,['Casual Dining'],1958,FALSE,#c14002,6.788617886,#f45042
" 71 George Street, Parramatta, Sydney",50,"['Singaporean', 'Malaysian']",-33.8148362,https://www.zomato.com/sydney/temasek-parramatta,151.0049196,(02) 9633 9926,4,Very Good,Parramatta,Temasek,['Casual Dining'],1022,FALSE,#e15307,5.243902439,#6f706b
" 66 Hunter Street, CBD, Sydney",150,"['Seafood', 'Steak', 'Modern Australian', 'Poké']",-33.8659672,https://www.zomato.com/sydney/rockpool-bar-grill-cbd,151.2103399,02 8078 1900,4.6,Excellent,CBD,Rockpool Bar & Grill,['Fine Dining'],1571,FALSE,#9c3203,12.96747967,#4186f4
" 15 Bligh Street, CBD, Sydney",150,"['French', 'European']",-33.8652006,https://www.zomato.com/sydney/restaurant-hubert-cbd,151.2103327,(02) 9232 0881,4.8,Excellent,CBD,Restaurant Hubert,"['Casual Dining', 'Bar']",213,FALSE,#892b04,12.96747967,#6f706b
" 76 Devonshire Street, Surry Hills, Sydney",60,"['Cafe', 'Coffee and Tea']",-33.8859365,https://www.zomato.com/sydney/devon-surry-hills,151.2077751,02 9211 8777,4.3,Very Good,Surry Hills,Devon,['Café'],1631,FALSE,#c14002,6.016260163,#6f706b
" 105 Pitt Street, CBD, Sydney",100,"['Mexican', 'Bar Food']",-33.8659479,https://www.zomato.com/sydney/méjico-cbd,151.2082635,02 9230 0119,4.1,Very Good,CBD,Méjico,"['Casual Dining', 'Bar']",799,FALSE,#db4a02,9.105691057,#6f706b
" 6 Mary Street, Newtown, Sydney",70,"['American', 'Burger']",-33.8961011,https://www.zomato.com/sydney/marys-newtown,151.1797455,02 4995 9550,3.9,Good,Newtown,Mary's,"['Casual Dining', 'Bar']",1381,FALSE,#e75b0b,6.788617886,#6f706b
" Level 1, The Galeries, 500 George Street, CBD, Sydney",30,"['Japanese', 'Sushi']",-33.8725518,https://www.zomato.com/sydney/sushi-hotaru-1-cbd,151.2076174,(02) 9264 9917,4.2,Very Good,"The Galeries, CBD",Sushi Hotaru,['Casual Dining'],669,FALSE,#ce4401,3.699186992,#6f706b
" 4-8 South Street, Granville, Sydney",35,['Lebanese'],-33.8329009,https://www.zomato.com/sydney/el-jannah-granville,151.0110027,02 9637 0977,4.5,Excellent,Granville,El Jannah,['Fast Food'],1783,FALSE,#a83703,4.085365854,#dee82c
" 633 Bourke Street, Surry Hills, Sydney",30,"['Cafe', 'Bakery', 'Desserts']",-33.8893419,https://www.zomato.com/sydney/bourke-street-bakery-surry-hills,151.2148432,"02 9699 1011, 02 9666 5777",4.7,Excellent,Surry Hills,Bourke Street Bakery,"['Café', 'Bakery']",2832,FALSE,#932f03,3.699186992,#6f706b
" 38-55 Waterloo Street, Surry Hills",60,"['Cafe', 'Modern Australian']",-33.886604,https://www.zomato.com/sydney/orto-trading-co-surry-hills,151.2100551,02 8317 4914,4.1,Very Good,Surry Hills,Orto Trading Co.,['Café'],666,FALSE,#db4a02,6.016260163,#4186f4
" 48 Albion Street, 	Surry Hills",50,['American'],-33.882269,https://www.zomato.com/sydney/chur-burger-surry-hills,151.2102684,02 8880 5541,4.1,Very Good,Surry Hills,Chur Burger,['Casual Dining'],1504,FALSE,#db4a02,5.243902439,#6f706b
" 52 Phillip Street, CBD, Sydney",60,"['Burger', 'Modern Australian']",-33.8640311,https://www.zomato.com/sydney/bar-luca-cbd,151.2120428,02 9247 9700,4.3,Very Good,CBD,Bar Luca,"['Casual Dining', 'Bar']",420,FALSE,#c14002,6.016260163,#4186f4
" 4 Hickson Road, The Rocks, Sydney",60,"['Grill', 'Cafe', 'Desserts', 'Pizza']",-33.8571871,https://www.zomato.com/sydney/pancakes-on-the-rocks-the-rocks,151.2087982,02 9247 6371,3.8,Good,The Rocks,Pancakes On The Rocks,"['Casual Dining', 'Café']",1071,FALSE,#ed6310,6.016260163,#6f706b
" 155 Victoria Street, Potts Point, Sydney",100,"['Asian', 'Vietnamese', 'Salad']",-33.8726314,https://www.zomato.com/sydney/ms-gs-potts-point,151.2224554,02 9114 7342,4.4,Very Good,Potts Point,Ms. G's,['Casual Dining'],1710,FALSE,#b53b02,9.105691057,#6f706b
" 1 Macquarie Street, Circular Quay, Sydney",300,['Modern Australian'],-33.8593397,https://www.zomato.com/sydney/aria-circular-quay,151.2131951,02 9240 2255,4.2,Very Good,Circular Quay,Aria,['Fine Dining'],1254,FALSE,#ce4401,24.55284553,#4186f4
" Basement, 152-156 Clarence Street, CBD, Sydney",60,['Bar Food'],-33.8697514,https://www.zomato.com/sydney/the-baxter-inn-cbd,151.2054952,02 9221 5580,4.8,Excellent,CBD,The Baxter Inn,['Bar'],922,FALSE,#892b04,6.016260163,#6f706b
" Shop 4, 6 Cowper Wharf Road, Woolloomooloo, Sydney",150,"['Asian', 'Chinese']",-33.8671926,https://www.zomato.com/sydney/china-doll-woolloomooloo,151.2212054,02 9380 6744,4.5,Excellent,Woolloomooloo,China Doll,['Fine Dining'],1148,FALSE,#a83703,12.96747967,#f45042
" Level 5, Customs House, 31 Alfred Street, Circular Quay, Sydney",160,"['Seafood', 'Modern Australian']",-33.8621961,https://www.zomato.com/sydney/cafe-sydney-circular-quay,151.2108531,02 9251 8683,4.4,Very Good,Circular Quay,Cafe Sydney,"['Fine Dining', 'Wine Bar']",1868,FALSE,#b53b02,13.7398374,#4186f4
" 50 Murray Street, Darling Harbour, Sydney",140,"['French', 'Modern Australian']",-33.870697,https://www.zomato.com/sydney/the-little-snail-darling-harbour,151.198064,02 9212 7512,4,Very Good,Darling Harbour,The Little Snail,['Casual Dining'],608,TRUE,#e15307,12.19512195,#4186f4
" 125 York Street, 	CBD",110,"['Cuban', 'Latin American', 'Steak']",44.968138,https://www.zomato.com/sydney/the-cuban-place-cbd,-93.0952316,02 8318 2262,4,Very Good,CBD,The Cuban Place,"['Casual Dining', 'Bar']",943,FALSE,#e15307,9.87804878,#6f706b
" 4a Lyons Street, Strathfield, Sydney",45,['Korean'],-33.8743829,https://www.zomato.com/sydney/red-pepper-bistro-strathfield,151.0966711,02 9701 0911,4,Very Good,Strathfield,Red Pepper Bistro,['Casual Dining'],253,FALSE,#e15307,4.857723577,#6f706b
" Shop 461, Level 2, Harbourside Shopping Centre, 2-10 Darling Drive, Darling Harbour, Sydney",195,"['Italian', 'Pizza']",-33.871968,https://www.zomato.com/sydney/crinitis-darling-harbour,151.198867,02 8026 7700,3.3,Average,"Harbourside Shopping Centre, Darling Harbour",Criniti's,['Casual Dining'],796,FALSE,#fd9243,16.44308943,#6f706b
" 116 Surrey Street Darlinghurst, Darlinghurst, Sydney",70,['Italian'],-33.8776015,https://www.zomato.com/sydney/buffalo-dining-club-darlinghurst,151.2219243,02 9332 4052,4.5,Excellent,Darlinghurst,Buffalo Dining Club,['Casual Dining'],578,FALSE,#a83703,6.788617886,#6f706b
" Shop 1, Level 4, The Wintergarden, 1 O'Connell Street, CBD, Sydney",80,"['Cafe', 'Modern Australian']",-33.8643718,https://www.zomato.com/sydney/bowery-lane-cbd,151.2103493,(02) 9252 8017,4,Very Good,"Wintergarden, CBD",Bowery Lane,"['Casual Dining', 'Café']",559,FALSE,#e15307,7.56097561,#4186f4
" 294 King Street, Newtown, Sydney",100,['Thai'],-33.8967448,https://www.zomato.com/sydney/thai-pothong-newtown,151.1799141,02 9550 6277,4.4,Very Good,Newtown,Thai Pothong,['Casual Dining'],1137,FALSE,#b53b02,9.105691057,#6f706b
" 277 Australia Street, Newtown, Sydney",30,"['Bakery', 'Desserts', 'Coffee and Tea']",-33.8970621,https://www.zomato.com/sydney/black-star-pastry-newtown,151.1783393,02 9557 8656,4.7,Excellent,Newtown,Black Star Pastry,"['Bakery', 'Dessert Parlour']",2090,FALSE,#932f03,3.699186992,#6f706b
" 1 John Street, Alexandria, Sydney",40,['Cafe'],-33.9003348,https://www.zomato.com/sydney/john-smith-cafe-alexandria,151.2007303,0405 659 351,4.5,Excellent,Alexandria,John Smith Cafe,['Café'],598,FALSE,#a83703,4.471544715,#6f706b
" Shop 1, Regent Place Arcade, 501 George Street, CBD, Sydney",25,"['Cafe', 'Japanese']",-33.8747251,https://www.zomato.com/sydney/oh-matcha-1-cbd,151.2064149,02 9266 0667,4.1,Very Good,"Regent Place Arcade, CBD",Oh! Matcha,['Café'],718,FALSE,#db4a02,3.31300813,#6f706b
" 479 Crown Street, 	Surry Hills",65,"['Irish', 'Cafe', 'Healthy Food', 'Salad']",-33.8880104,https://www.zomato.com/sydney/mad-spuds-cafe-surry-hills,151.2132608,02 9698 8108,4.6,Excellent,Surry Hills,Mad Spuds Cafe,['Café'],1120,FALSE,#9c3203,6.402439024,#6f706b
" Lower Concourse Level, Sydney Opera House, Circular Quay, Sydney",110,"['Australian', 'Seafood', 'Bar Food', 'Pizza']",-33.8567844,https://www.zomato.com/sydney/opera-bar-circular-quay,151.2152967,02 9247 1666,4,Very Good,Circular Quay,Opera Bar,"['Bar', 'Wine Bar']",622,FALSE,#e15307,9.87804878,#4186f4
" 529 Kent Street, CBD, Sydney",440,['Japanese'],-33.8751371,https://www.zomato.com/sydney/tetsuyas-cbd,151.2053753,02 9267 2900,4.7,Excellent,CBD,Tetsuya's,['Fine Dining'],1917,FALSE,#932f03,35.36585366,#6f706b
" 69 Commonwealth Street, Surry Hills, Sydney",100,"['Thai', 'Asian', 'Fusion']",-33.8788628,https://www.zomato.com/sydney/chin-chin-surry-hills,151.2107941,(02) 9281 3322,3.5,Good,Surry Hills,Chin Chin,['Casual Dining'],78,FALSE,#f87f2c,9.105691057,#6f706b
" Shop 8, 6 Cowper Wharf Road, Woolloomooloo, Sydney",160,['Italian'],-33.8671926,https://www.zomato.com/sydney/otto-ristorante-woolloomooloo,151.2212054,02 9368 7488,4.2,Very Good,Woolloomooloo,Otto Ristorante,['Fine Dining'],541,FALSE,#ce4401,13.7398374,#6f706b
" 125 Falcon Street, Crows Nest, Sydney",50,"['Japanese', 'Ramen']",-33.8287145,https://www.zomato.com/sydney/ryos-crows-nest,151.2065901,(02) 9955 0225,4.5,Excellent,Crows Nest,Ryo's,['Casual Dining'],1043,FALSE,#a83703,5.243902439,#6f706b
" 47 Argyle Street, The Rocks, Sydney",40,"['Desserts', 'Cafe', 'Bakery', 'French', 'Patisserie']",-33.8593069,https://www.zomato.com/sydney/la-renaissance-cafe-patisserie-the-rocks,151.2083678,02 9241 4878,4.6,Excellent,The Rocks,La Renaissance Cafe Patisserie,['Café'],841,FALSE,#9c3203,4.471544715,#6f706b
" Shop 2a, 20 Victoria Road, Parramatta, Sydney",55,"['Juices', 'Cafe', 'Desserts', 'Modern Australian', 'Salad', 'Coffee and Tea', 'Vegetarian']",-33.8086146,https://www.zomato.com/sydney/social-hideout-1-parramatta,151.0066212,02 8677 5226,4,Very Good,Parramatta,Social Hideout,['Café'],180,FALSE,#e15307,5.630081301,#4186f4
" Newtown Station, King Street, Newtown, Sydney",50,['Modern Australian'],-33.897994,https://www.zomato.com/sydney/cuckoo-callay-newtown,151.1795454,(02) 9557 7006,4.4,Very Good,Newtown,Cuckoo Callay,['Casual Dining'],618,FALSE,#b53b02,5.243902439,#4186f4
" Basement Level, 12-14 O'Connell Street, CBD, Sydney",80,"['Japanese', 'Hot Pot', 'Sushi']",-33.8652419,https://www.zomato.com/sydney/masuya-japanese-seafood-restaurant-cbd,151.2099559,02 9235 2717,4.5,Excellent,CBD,Masuya Japanese Seafood Restaurant,['Casual Dining'],706,FALSE,#a83703,7.56097561,#6f706b
" Level 1, 605 George Street, CBD, Sydney",160,['Japanese BBQ'],-33.6241788,https://www.zomato.com/sydney/kobe-wagyu-yakiniku-cbd,150.7991848,02 9283 2268,4.2,Very Good,CBD,Kobe Wagyu Yakiniku,['Casual Dining'],423,FALSE,#ce4401,13.7398374,#6f706b
" Shop 211, Harbour Plaza, 25-29 Dixon Street, 	Chinatown, Chinatown, Sydney",35,"['Ramen', 'Japanese']",-33.8777972,https://www.zomato.com/sydney/gumshara-ramen-chinatown,151.2036586,0410 253 180,4.2,Very Good,"Harbour Plaza, Chinatown",Gumshara Ramen,['Food Court'],1264,FALSE,#ce4401,4.085365854,#6f706b
" 80 Pyrmont Street,Pyrmont, Sydney",150,"['Steak', 'Modern Australian']",-33.8682215,https://www.zomato.com/sydney/black-bar-grill-pyrmont,151.1953756,02 8317 2875,4.2,Very Good,"The Star, Pyrmont",BLACK Bar & Grill,['Fine Dining'],561,FALSE,#ce4401,12.96747967,#4186f4
" 30-34 Chalmers Street, Surry Hills, Sydney",70,['Cafe'],-33.8850108,https://www.zomato.com/sydney/haven-surry-hills,151.2073928,02 9281 9300,3.9,Good,Surry Hills,Haven,['Café'],519,TRUE,#e75b0b,6.788617886,#6f706b
" 107 Pitt Street, CBD, Sydney",100,['Italian'],-33.8660279,https://www.zomato.com/sydney/jamies-italian-cbd,151.2082635,02 8240 9000,3.5,Good,CBD,Jamie's Italian,['Casual Dining'],3125,FALSE,#f87f2c,9.105691057,#6f706b
" Level 1, The Galeries, 500 George Street, CBD, Sydney",70,"['Japanese', 'Hot Pot']",-33.8725518,https://www.zomato.com/sydney/yayoi-japanese-teishoku-restaurant-cbd,151.2076174,02 8318 0475,3.7,Good,"The Galeries, CBD",YAYOI Japanese Teishoku Restaurant,['Casual Dining'],244,FALSE,#f26d17,6.788617886,#6f706b
" 423 Pitt Street, Chinatown, Sydney",80,['Spanish'],-33.8784521,https://www.zomato.com/sydney/encasa-chinatown,151.2070502,02 9211 4257,4.4,Very Good,Chinatown,Encasa,['Casual Dining'],920,FALSE,#b53b02,7.56097561,#6f706b
" Shop 391, Westfield Chatswood, 1 Anderson Street, Chatswood, Sydney",50,"['Cafe', 'Bakery']",-33.7968921,https://www.zomato.com/sydney/flower-child-chatswood,151.1841106,02 9412 1555,4.1,Very Good,"Westfield Chatswood, Chatswood",Flower Child,['Café'],298,FALSE,#db4a02,5.243902439,#6f706b
" Shop 5, 447 Pitt Street, Chinatown, Sydney",80,"['Sushi', 'Japanese']",-33.8798063,https://www.zomato.com/sydney/masuya-suisan-chinatown,151.2067519,02 9280 0377,4.2,Very Good,Chinatown,Masuya Suisan,['Casual Dining'],392,FALSE,#ce4401,7.56097561,#6f706b
" 273 Liverpool Road, Ashfield, Sydney",50,"['Chinese', 'Dumplings']",-33.8882616,https://www.zomato.com/sydney/new-shanghai-ashfield,151.1244021,02 9797 7284,4.1,Very Good,Ashfield,New Shanghai,['Casual Dining'],515,FALSE,#db4a02,5.243902439,#f45042
" Shop 35, 1 Dixon Street, 	Chinatown",100,"['Korean', 'Asian', 'Hot Pot']",-33.8770104,https://www.zomato.com/sydney/arisun-chinatown,151.2035964,(02) 9264 1588,3.7,Good,Chinatown,Arisun,['Casual Dining'],564,FALSE,#f26d17,9.105691057,#6f706b
" 145 Ramsay Street, Haberfield, Sydney",20,"['Patisserie', 'Coffee and Tea', 'Italian']",-33.8804107,https://www.zomato.com/sydney/pasticceria-papa-haberfield,151.139068,(02) 9799 9531,4.5,Excellent,Haberfield,Pasticceria Papa,"['Dessert Parlour', 'Café']",601,FALSE,#a83703,2.926829268,#6f706b
" Shop 4, Bijou Lane, Haymarket, Chinatown, Sydney",40,"['Cafe', 'Fusion', 'Indonesian']",-33.882458,https://www.zomato.com/sydney/kusuka-chinatown,151.2034198,0421 774 394,4,Very Good,Chinatown,Kusuka,"['Casual Dining', 'Café']",168,FALSE,#e15307,4.471544715,#6f706b
" 41 Bourke Road, Alexandria, Sydney",65,['Modern Australian'],-33.9115412,https://www.zomato.com/sydney/the-potting-shed-alexandria,151.194007,02 9699 2225,4.1,Very Good,"The Grounds of Alexandria, Alexandria",The Potting Shed,"['Bar', 'Casual Dining']",483,FALSE,#db4a02,6.402439024,#4186f4
" 83 Foveaux Street, Surry Hills, Sydney",40,"['Modern Australian', 'Cafe']",-33.8845985,https://www.zomato.com/sydney/le-monde-surry-hills,151.2112152,(02) 9211 3568,4.4,Very Good,Surry Hills,Le Monde,['Café'],658,FALSE,#b53b02,4.471544715,#4186f4
" Shop 1, 78 Harbour Street, Chinatown",55,"['Japanese', 'Hot Pot']",-33.8789002,https://www.zomato.com/sydney/wagaya-chinatown,151.2036419,02 9212 6068,4.3,Very Good,Chinatown,WAGAYA,['Casual Dining'],1342,FALSE,#c14002,5.630081301,#6f706b
" 291 Annandale Street, Annandale, Annandale, Sydney",45,"['Cafe', 'Coffee and Tea']",-33.8758345,https://www.zomato.com/sydney/revolver-annandale,151.1718032,02 8318 0753,4.5,Excellent,Annandale,Revolver,['Café'],1066,FALSE,#a83703,4.857723577,#6f706b
" 224 Harris Street, 	Pyrmont",70,"['Cafe', 'Modern Australian']",-33.8715936,https://www.zomato.com/sydney/social-brew-cafe-pyrmont,151.1952934,02 8318 2261,4.2,Very Good,Pyrmont,Social Brew Cafe,"['Casual Dining', 'Café']",247,FALSE,#ce4401,6.788617886,#4186f4
" 10 Bligh Street, CBD, Sydney",150,"['Chinese', 'Fusion', 'Yum Cha']",-33.8658318,https://www.zomato.com/sydney/spice-temple-cbd,151.2102461,02 8078 1888,4.2,Very Good,CBD,Spice Temple,['Fine Dining'],870,FALSE,#ce4401,12.96747967,#f45042
" 285A Crown Street, Surry Hills, Sydney",100,['Modern Australian'],-33.8813309,https://www.zomato.com/sydney/the-winery-surry-hills,151.2145025,02 8322 2007,4.3,Very Good,Surry Hills,The Winery,"['Casual Dining', 'Bar']",1470,FALSE,#c14002,9.105691057,#4186f4
" 80 Pyrmont Street Pyrmont, 	Pyrmont",100,"['Asian', 'Italian', 'Seafood', 'Indian']",-33.8679708,https://www.zomato.com/sydney/harvest-buffet-pyrmont,151.1952102,02 8317 6335,3.6,Good,"The Star, Pyrmont",Harvest Buffet,['Casual Dining'],326,FALSE,#f57622,9.105691057,#6f706b
" Shop 7, 345 Sussex Street, CBD, Sydney",30,"['Japanese', 'Sushi']",-33.8754429,https://www.zomato.com/sydney/sushi-rio-1-cbd,151.2042137,02 9261 2388,4.1,Very Good,CBD,Sushi Rio,['Casual Dining'],564,FALSE,#db4a02,3.699186992,#6f706b
" 216 Commonwealth Street, 	Surry Hills, Surry Hills, Sydney",80,"['Latin American', 'Tapas']",-33.8835632,https://www.zomato.com/sydney/bodega-surry-hills,151.2101731,02 9212 7766,4.4,Very Good,Surry Hills,Bodega,['Casual Dining'],1199,FALSE,#b53b02,7.56097561,#6f706b
" 415 Crown Street, 	Surry Hills",50,"['Cafe', 'Turkish']",-33.886291,https://www.zomato.com/sydney/rustic-pearl-surry-hills,151.2135579,0415 102 561,4.5,Excellent,Surry Hills,Rustic Pearl,['Café'],664,FALSE,#a83703,5.243902439,#6f706b
" 145 Devonshire Street, Surry Hills",60,"['Japanese', 'Sushi']",-33.8871461,https://www.zomato.com/sydney/jazushi-surry-hills,151.2093635,02 9699 8977,4.3,Very Good,Surry Hills,Jazushi,['Casual Dining'],602,FALSE,#c14002,6.016260163,#6f706b
" 500 George Street, Sydney, CBD, Sydney",70,['Cafe'],-33.8723996,https://www.zomato.com/sydney/the-grounds-of-the-city-cbd,151.2071178,02 9699 2235,3.7,Good,CBD,The Grounds of the City,['Café'],166,FALSE,#f26d17,6.788617886,#6f706b
" 226 Victoria Avenue, Chatswood, Sydney",30,"['Japanese', 'Ramen']",-33.7945099,https://www.zomato.com/sydney/manpuku-chatswood,151.189675,02 8317 4834,4.5,Excellent,Chatswood,Manpuku,['Casual Dining'],160,FALSE,#a83703,3.699186992,#6f706b
" 6-8 O'Connell Street, Newtown, Sydney",40,['Cafe'],-33.8939319,https://www.zomato.com/sydney/brewtown-newtown-newtown,151.1823278,(02) 9519 2920,4.2,Very Good,Newtown,Brewtown Newtown,['Café'],1300,FALSE,#ce4401,4.471544715,#6f706b
" Shop 75A & 76A, The District, Podium Level, Chatswood Interchange, 436 Victoria Avenue, Chatswood, Sydney",70,"['Chinese', 'Dumplings']",-33.7974362,https://www.zomato.com/sydney/tim-ho-wan-chatswood,151.1808483,(02) 9898 9888,2.9,Average,"Chatswood Interchange, Chatswood",Tim Ho Wan,['Casual Dining'],603,FALSE,#fdb475,6.788617886,#f45042
" 39 Lime Street, Darling Harbour, Sydney",135,"['Asian', 'Malaysian', 'Seafood']",-33.867806,https://www.zomato.com/sydney/the-malaya-darling-harbour,151.20172,02 9279 1170,4.1,Very Good,Darling Harbour,The Malaya,['Casual Dining'],660,FALSE,#db4a02,11.80894309,#6f706b
